INSERT INTO `escenario` (`id`, `nombre`, `capacidad`, `ubicacion`) VALUES
(1, 'ANFITEATRO PRESIDENTE', 400, 'SAN SALVADOR');


INSERT INTO `zonas` (`id`, `nombre`, `capacidad`, `ubicacion`) VALUES
(85, 80, 1, 3),
(86, 81, 1, 3),
(87, 82, 1, 3),
(88, 83, 1, 3),
(89, 84, 1, 3),
(90, 85, 1, 3),
(91, 86, 2, 3),
(92, 87, 2, 3),
(93, 88, 2, 3),
(94, 89, 2, 3),
(95, 90, 2, 3),
(96, 91, 2, 3),
(97, 92, 2, 3),
(98, 93, 2, 3),
(99, 94, 2, 3),
(100, 95, 2, 3),
(101, 96, 3, 3),
(102, 97, 3, 3),
(103, 98, 3, 3),
(104, 99, 3, 3),
(105, 100, 3, 3),
(106, 101, 3, 3),
(107, 102, 3, 3),
(108, 103, 3, 3),
(109, 104, 3, 3),
(110, 105, 3, 3),
(111, 106, 4, 3),
(112, 107, 4, 3),
(113, 108, 4, 3),
(114, 109, 4, 3),
(115, 110, 4, 3),
(116, 111, 4, 3),
(117, 112, 4, 3),
(118, 113, 4, 3),
(119, 114, 4, 3),
(120, 115, 4, 3),
(121, 116, 5, 3),
(122, 117, 5, 3),
(123, 118, 5, 3),
(124, 119, 5, 3),
(125, 120, 5, 3),
(126, 121, 5, 3),
(127, 122, 5, 3),
(128, 123, 5, 3),
(129, 124, 5, 3),
(130, 125, 5, 3),
(131, 126, 1, 4),
(132, 127, 1, 4),
(133, 128, 1, 4),
(134, 129, 1, 4),
(135, 130, 1, 4),
(136, 131, 2, 4),
(137, 132, 2, 4),
(138, 133, 2, 4),
(139, 134, 2, 4),
(140, 135, 2, 4),
(141, 136, 3, 4),
(142, 137, 3, 4),
(143, 138, 3, 4),
(144, 139, 3, 4),
(145, 140, 3, 4),
(146, 141, 4, 4),
(147, 142, 4, 4),
(148, 143, 4, 4),
(149, 144, 4, 4),
(150, 145, 4, 4),
(151, 146, 5, 4),
(152, 147, 5, 4),
(153, 148, 5, 4),
(154, 149, 5, 4),
(155, 150, 5, 4),
(156, 151, 1, 5),
(157, 152, 1, 5),
(158, 153, 1, 5),
(159, 154, 1, 5),
(160, 155, 1, 5),
(161, 156, 2, 5),
(162, 157, 2, 5),
(163, 158, 2, 5),
(164, 159, 2, 5),
(165, 160, 2, 5),
(166, 161, 3, 5),
(167, 162, 3, 5),
(168, 163, 3, 5),
(169, 164, 3, 5),
(170, 165, 3, 5),
(171, 166, 4, 5),
(172, 167, 4, 5),
(173, 168, 4, 5),
(174, 169, 4, 5),
(175, 170, 4, 5),
(176, 171, 5, 5),
(177, 172, 5, 5),
(178, 173, 5, 5),
(179, 174, 5, 5),
(180, 175, 5, 5),
(181, 176, 1, 6),
(182, 177, 1, 6),
(183, 178, 1, 6),
(184, 179, 1, 6),
(185, 180, 1, 6),
(186, 181, 1, 6),
(187, 182, 1, 6),
(188, 183, 1, 6),
(189, 184, 1, 6),
(190, 185, 1, 6),
(191, 186, 2, 6),
(192, 187, 2, 6),
(193, 188, 2, 6),
(194, 189, 2, 6),
(195, 190, 2, 6),
(196, 191, 2, 6),
(197, 192, 2, 6),
(198, 193, 2, 6),
(199, 194, 2, 6),
(200, 195, 2, 6),
(201, 196, 3, 6),
(202, 197, 3, 6),
(203, 198, 3, 6),
(204, 199, 3, 6),
(205, 200, 3, 6),
(206, 201, 3, 6),
(207, 202, 3, 6),
(208, 203, 3, 6),
(209, 204, 3, 6),
(210, 205, 3, 6),
(211, 206, 4, 6),
(212, 207, 4, 6),
(213, 208, 4, 6),
(214, 209, 4, 6),
(215, 210, 4, 6),
(216, 211, 4, 6),
(217, 212, 4, 6),
(218, 213, 4, 6),
(219, 214, 4, 6),
(220, 215, 4, 6),
(221, 216, 5, 6),
(222, 217, 5, 6),
(223, 218, 5, 6),
(224, 219, 5, 6),
(225, 220, 5, 6),
(226, 221, 5, 6),
(227, 222, 5, 6),
(228, 223, 5, 6),
(229, 224, 5, 6),
(230, 225, 5, 6),
(231, 226, 6, 6),
(232, 227, 6, 6),
(233, 228, 6, 6),
(234, 229, 6, 6),
(235, 230, 6, 6),
(236, 231, 6, 6),
(237, 232, 6, 6),
(238, 233, 6, 6),
(239, 234, 6, 6),
(240, 235, 6, 6),
(241, 236, 7, 6),
(242, 237, 7, 6),
(243, 238, 7, 6),
(244, 239, 7, 6),
(245, 240, 7, 6),
(246, 241, 7, 6),
(247, 242, 7, 6),
(248, 243, 7, 6),
(249, 244, 7, 6),
(250, 245, 7, 6),
(251, 246, 8, 6),
(252, 247, 8, 6),
(253, 248, 8, 6),
(254, 249, 8, 6),
(255, 250, 8, 6),
(256, 251, 8, 6),
(257, 252, 8, 6),
(258, 253, 8, 6),
(259, 254, 8, 6),
(260, 255, 8, 6),
(261, 256, 9, 6),
(262, 257, 9, 6),
(263, 258, 9, 6),
(264, 259, 9, 6),
(265, 260, 9, 6),
(266, 261, 9, 6),
(267, 262, 9, 6),
(268, 263, 9, 6),
(269, 264, 9, 6),
(270, 265, 9, 6),
(271, 266, 10, 6),
(272, 267, 10, 6),
(273, 268, 10, 6),
(274, 269, 10, 6),
(275, 270, 10, 6),
(276, 271, 10, 6),
(277, 272, 10, 6),
(278, 273, 10, 6),
(279, 274, 10, 6),
(280, 275, 10, 6);
